통계표,"4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)"
항목명1,"국고채(2년)","국고채(3년)","국고채(10년)"
단위,"연%","연%","연%"
변환,"원자료","원자료","원자료"
1939/01,"","",""
1939/02,"","",""
1939/03,"","",""
1939/04,"","",""
1939/05,"","",""
1939/06,"","",""
1939/07,"","",""
1939/08,"","",""
1939/09,"","",""
1939/10,"","",""
1939/11,"","",""
1939/12,"","",""
1940/01,"","",""
1940/02,"","",""
1940/03,"","",""
1940/04,"","",""
1940/05,"","",""
1940/06,"","",""
1940/07,"","",""
1940/08,"","",""
1940/09,"","",""
1940/10,"","",""
1940/11,"","",""
1940/12,"","",""
1941/01,"","",""
1941/02,"","",""
1941/03,"","",""
1941/04,"","",""
1941/05,"","",""
1941/06,"","",""
1941/07,"","",""
1941/08,"","",""
1941/09,"","",""
1941/10,"","",""
1941/11,"","",""
1941/12,"","",""
1942/01,"","",""
1942/02,"","",""
1942/03,"","",""
1942/04,"","",""
1942/05,"","",""
1942/06,"","",""
1942/07,"","",""
1942/08,"","",""
1942/09,"","",""
1942/10,"","",""
1942/11,"","",""
1942/12,"","",""
1943/01,"","",""
1943/02,"","",""
1943/03,"","",""
1943/04,"","",""
1943/05,"","",""
1943/06,"","",""
1943/07,"","",""
1943/08,"","",""
1943/09,"","",""
1943/10,"","",""
1943/11,"","",""
1943/12,"","",""
1944/01,"","",""
1944/02,"","",""
1944/03,"","",""
1944/04,"","",""
1944/05,"","",""
1944/06,"","",""
1944/07,"","",""
1944/08,"","",""
1944/09,"","",""
1944/10,"","",""
1944/11,"","",""
1944/12,"","",""
1945/01,"","",""
1945/02,"","",""
1945/03,"","",""
1945/04,"","",""
1945/05,"","",""
1945/06,"","",""
1945/07,"","",""
1945/08,"","",""
1945/09,"","",""
1945/10,"","",""
1945/11,"","",""
1945/12,"","",""
1946/01,"","",""
1946/02,"","",""
1946/03,"","",""
1946/04,"","",""
1946/05,"","",""
1946/06,"","",""
1946/07,"","",""
1946/08,"","",""
1946/09,"","",""
1946/10,"","",""
1946/11,"","",""
1946/12,"","",""
1947/01,"","",""
1947/02,"","",""
1947/03,"","",""
1947/04,"","",""
1947/05,"","",""
1947/06,"","",""
1947/07,"","",""
1947/08,"","",""
1947/09,"","",""
1947/10,"","",""
1947/11,"","",""
1947/12,"","",""
1948/01,"","",""
1948/02,"","",""
1948/03,"","",""
1948/04,"","",""
1948/05,"","",""
1948/06,"","",""
1948/07,"","",""
1948/08,"","",""
